"","Sub","Run","x","y","FixDur","NumFix","Stim","Talker","Syll","PC_Eyes","PC_Mouth","PC_Off","PC_Up","PC_Low","Dist_Eyes","Dist_Mouth","Code","AQ","NewNum"
"6961",30,1,1036.27484874676,578.004321521175,4628,3,2,1,2,0,1,0,0,1,3.25151351786339,1.16276428385518,9965,28,64
"6962",30,1,1014.59393428812,574.296545914069,2374,4,4,2,1,0.343723673125527,0.656276326874473,0,0.343723673125527,0.656276326874473,2.68068301673089,1.75234347331023,9965,28,64
"6963",30,1,963.149193548387,565.592741935484,2480,3,10,4,1,0,0.818548387096774,0,0.181451612903226,0.818548387096774,2.41396708458941,0.849871358437075,9965,28,64
"6964",30,1,1011.80630284397,576.584166026134,7806,4,3,1,3,0,1,0,0,1,3.05888696976407,0.727322734884584,9965,28,64
"6965",30,1,957.995562130178,541.10724852071,5408,4,5,2,2,0.433431952662722,0.566568047337278,0,0.433431952662722,0.566568047337278,1.81122210849415,1.34414497587825,9965,28,64
"6966",30,1,1018.73291925466,546.807453416149,8694,5,3,1,3,0,0.834368530020704,0.165631469979296,0.165631469979296,0.834368530020704,2.92348857408133,1.18235267285434,9965,28,64
"6967",30,1,938.686746987952,564.674698795181,2656,4,10,4,1,0.206325301204819,0.793674698795181,0,0.206325301204819,0.793674698795181,2.60117973683023,0.982849392589937,9965,28,64
"6968",30,1,961.169811320755,576.859721082855,2438,3,1,1,1,0,0.91304347826087,0.0869565217391304,0.0869565217391304,0.91304347826087,3.14979175479828,0.732705504623595,9965,28,64
"6969",30,1,995.234545454545,629.314545454546,6600,3,5,2,2,0,0.670909090909091,0.329090909090909,0,1,3.83387328710016,1.34797802979778,9965,28,64
"6970",30,1,964.232968881413,612.639192598823,2378,4,4,2,1,0,0.918418839360807,0,0.0815811606391926,0.918418839360807,3.29932567902606,1.01305064320904,9965,28,64
"6971",30,1,978.314842578711,605.6011994003,8004,4,12,4,3,0,0.779610194902549,0.148425787106447,0,1,3.45959553111059,1.06786099866195,9965,28,64
"6972",30,1,988.761450381679,605.888676844784,9432,4,6,2,3,0,1,0,0,1,3.17179993480014,0.752353518587466,9965,28,64
