"","Sub","Run","Movie","Avg_x","Avg_y","P_Lower","P_Upper","P_Mouth","P_Eye","P_NotROI","P_NotFace","NumFix","Std_x","Std_y"
"75",2,4,5,1024,491,0.0919158361018826,0.828349944629014,0.00664451827242525,0.716500553709856,0.276854928017719,0.079734219269103,94,90.1251077357276,72.2420238814191
"76",2,4,6,1044,480,0.0826771653543307,0.891732283464567,0.0177165354330709,0.87992125984252,0.102362204724409,0.0255905511811024,63,88.2225831240128,75.8500830880903
"77",2,4,7,1033,586,0.020253164556962,0.90126582278481,0.020253164556962,0.835443037974684,0.144303797468354,0.0784810126582278,39,56.6264751920641,96.4283342698404
"78",2,4,8,1013,614,0.130927835051546,0.835051546391753,0.107216494845361,0.729896907216495,0.162886597938144,0.034020618556701,103,100.520052763347,88.9986388794427
"79",2,4,9,901,544,0.275659824046921,0.592375366568915,0.0395894428152493,0.473607038123167,0.486803519061584,0.131964809384164,67,102.266081958608,70.3712720378536
"80",2,4,10,933,556,0.0948166877370417,0.762326169405815,0.0518331226295828,0.651074589127686,0.297092288242731,0.142857142857143,92,103.406609357887,98.9070962718055
"81",3,1,1,915,502,0.030441400304414,0.908675799086758,0.0213089802130898,0.881278538812785,0.0974124809741248,0.060882800608828,55,72.609822303068,46.2913748084349
"82",3,1,2,937,431,0.0639606396063961,0.811808118081181,0.023370233702337,0.738007380073801,0.238622386223862,0.124231242312423,69,182.335854614177,89.8024696413836
"83",3,1,3,972,583,0.134210526315789,0.581578947368421,0.144736842105263,0.45,0.405263157894737,0.284210526315789,39,209.381752572303,131.963978207393
"84",3,1,4,899,572,0.0967320261437909,0.704575163398693,0.0718954248366013,0.596078431372549,0.33202614379085,0.198692810457516,75,224.600889096956,104.969608094945
"85",3,1,5,849,597,0.213450292397661,0.608187134502924,0.116959064327485,0.476608187134503,0.406432748538012,0.178362573099415,34,150.717878085732,129.5549648262
"86",3,1,6,845,565,0.217537942664418,0.693086003372681,0.173693086003373,0.379426644182125,0.446880269814503,0.0893760539629005,53,141.154328088962,111.182452575327
"87",3,1,7,863,520,0.253044654939107,0.612990527740189,0.18403247631935,0.381596752368065,0.434370771312585,0.133964817320704,62,161.522024881382,106.707123861076
"88",3,1,8,904,568,0.128747795414462,0.814814814814815,0.128747795414462,0.791887125220459,0.0793650793650794,0.0564373897707231,38,145.722417083285,89.769371202178
"89",3,1,9,956,528,0.125536480686695,0.718884120171674,0.157725321888412,0.656652360515021,0.185622317596567,0.155579399141631,82,136.117050421952,96.4397892018417
"90",3,1,10,851,532,0.247191011235955,0.407303370786517,0.230337078651685,0.23314606741573,0.536516853932584,0.345505617977528,41,245.148676238254,167.017498683504
"91",3,2,1,903,524,0.161643835616438,0.726027397260274,0.0876712328767123,0.621917808219178,0.29041095890411,0.112328767123288,36,105.311524750436,101.189528450541
"92",3,2,2,822,495,0.0892448512585812,0.892448512585812,0.0778032036613272,0.567505720823799,0.354691075514874,0.0183066361556064,29,43.8821226143105,76.9605217549328
"93",3,2,3,1058,608,0.171717171717172,0.638383838383838,0.129292929292929,0.527272727272727,0.343434343434343,0.18989898989899,44,129.677850788813,131.236515084567
"94",3,2,4,951,435,0.0437284234752589,0.799769850402762,0.0368239355581128,0.726121979286536,0.237054085155351,0.156501726121979,81,203.698090076726,117.216399688999
"95",3,2,5,905,473,0.139751552795031,0.569875776397516,0,0.47360248447205,0.52639751552795,0.290372670807453,56,199.988606017791,146.129530398971
"96",3,2,6,909,584,0.0979020979020979,0.797202797202797,0.0585664335664336,0.677447552447552,0.263986013986014,0.104895104895105,104,162.796927370345,106.360827859548
"97",3,2,7,963,558,0.10625,0.708333333333333,0.0416666666666667,0.59375,0.364583333333333,0.185416666666667,41,103.788866883153,103.589448733396
"98",3,2,8,929,505,0.114325068870523,0.758953168044077,0.0716253443526171,0.651515151515151,0.276859504132231,0.126721763085399,61,155.889318643289,112.767635989759
"99",3,2,9,861,578,0.0830769230769231,0.710769230769231,0.00307692307692308,0.687692307692308,0.309230769230769,0.206153846153846,55,179.594509503456,145.798217178896
"100",3,2,10,871,521,0.197619047619048,0.680952380952381,0,0.464285714285714,0.535714285714286,0.121428571428571,42,137.628134153804,70.2886618219868
"101",3,3,1,989,539,0.151917404129794,0.691740412979351,0.109144542772861,0.452802359882006,0.438053097345133,0.156342182890855,65,182.1945181859,88.6178445037672
"102",3,3,2,831,555,0.0139130434782609,0.841739130434783,0,0.765217391304348,0.234782608695652,0.144347826086957,50,187.519275387801,90.9666487670163
"103",3,3,3,816,592,0.0752972258916777,0.717305151915456,0.0435931307793923,0.6221928665786,0.334214002642008,0.207397622192867,50,121.400666437927,133.87668279655
"104",3,3,4,911,546,0.108988764044944,0.559550561797753,0.0471910112359551,0.337078651685393,0.615730337078652,0.331460674157303,76,194.345787945767,144.713867307131
"105",3,3,5,926,561,0.157142857142857,0.747619047619048,0.14047619047619,0.735714285714286,0.123809523809524,0.0952380952380952,35,82.5939875538489,84.5708763656361
"106",3,3,6,974,602,0.0799031476997579,0.691283292978208,0.0484261501210654,0.635593220338983,0.315980629539952,0.228813559322034,75,215.199729601022,109.944850030329
"107",3,3,7,906,610,0.132404181184669,0.613240418118467,0.0731707317073171,0.555749128919861,0.371080139372822,0.254355400696864,55,178.913729449587,128.299334712211
"108",3,3,8,959,590,0.356687898089172,0.475583864118896,0.246284501061571,0.326963906581741,0.426751592356688,0.167728237791932,43,141.663355019248,63.3332736177052
"109",3,3,9,909,556,0.181318681318681,0.729395604395604,0.0480769230769231,0.423076923076923,0.528846153846154,0.0892857142857143,62,115.92874173201,71.6817236161959
"110",3,3,10,1051,563,0.261477045908184,0.692614770459082,0.157684630738523,0.558882235528942,0.283433133732535,0.0459081836327345,49,84.2931026246575,86.4552917066032
"111",3,4,1,925,571,0.22289156626506,0.690763052208835,0.244979919678715,0.437751004016064,0.317269076305221,0.0863453815261044,49,116.559805071283,94.2279871903376
"112",3,4,2,984,526,0.403141361256544,0.43455497382199,0.273996509598604,0.31413612565445,0.411867364746946,0.162303664921466,44,105.63384095993,145.735537074886
"113",3,4,3,942,643,0.301707779886148,0.5426944971537,0.229601518026565,0.415559772296015,0.354838709677419,0.155597722960152,53,96.631441239291,115.245668810025
"114",3,4,4,829,572,0.315245478036176,0.617571059431525,0.214470284237726,0.48578811369509,0.299741602067183,0.0671834625322997,41,204.16515713233,102.194812494271
"115",3,4,5,999,525,0.179317931793179,0.658965896589659,0.0517051705170517,0.54015401540154,0.408140814081408,0.161716171617162,77,168.093038378029,130.254078021792
"116",3,4,6,956,559,0.267190569744597,0.581532416502947,0.178781925343811,0.546168958742633,0.275049115913556,0.151277013752456,51,131.298171935651,105.341311125229
"117",3,4,7,921,625,0.165333333333333,0.690666666666667,0.157333333333333,0.528,0.314666666666667,0.144,39,155.919491476282,107.8593850035
"118",3,4,8,931,693,0.287332646755922,0.603501544799176,0.227600411946447,0.43048403707518,0.341915550978373,0.109165808444902,81,136.445431001148,110.044248046939
"119",3,4,9,806,554,0.18018018018018,0.692192192192192,0.0885885885885886,0.527027027027027,0.384384384384384,0.127627627627628,64,90.0017220384132,109.448254523158
"120",3,4,10,852,641,0.322424242424242,0.539393939393939,0.265454545454545,0.387878787878788,0.346666666666667,0.138181818181818,62,152.839724815659,124.578140664055
